question_id,step,arm,evidence_kind,operation,valid,execution_error,call_count,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cost_usd,latency_ms
89941a94,0,B,current,NOOP,true,,1,322,19,0,0,0.000834,2006.0718869999982
89941a94,0,C,current,NOOP,true,,1,511,47,0,0,0.000021462,936.6316449999576
89941a94,1,B,current,NOOP,true,,1,332,44,23,0,0.001104,2085.135515000089
89941a94,1,C,current,ADD,true,,1,522,46,0,0,0.000021924,354.15387599996757
89941a94,2,B,historical,NOOP,true,,1,311,55,34,0,0.001172,2923.532511000056
89941a94,2,C,historical,NOOP,true,,1,549,47,0,0,0.000023058,416.83706900000107
89941a94,3,B,tentative,NOOP,true,,1,325,19,0,0,0.00084,1133.5055289999582
89941a94,3,C,tentative,NOOP,true,,1,567,47,0,0,0.000023814,486.01659200002905
89941a94,4,B,current,NOOP,true,,1,348,49,28,0,0.001186,2069.6558979999973
89941a94,4,C,current,UPDATE,true,,2,1095,72,0,0,0.00004599,750.6346289998619
89941a94,5,B,tentative,NOOP,true,,1,321,19,0,0,0.000832,1258.8873410000233
89941a94,5,C,tentative,NOOP,true,,1,576,47,0,0,0.000024192,358.75379799993243
89941a94,6,B,historical,NOOP,true,,1,330,65,44,0,0.00131,2583.9782000000123
89941a94,6,C,historical,NOOP,true,,1,585,47,0,0,0.00002457,422.45911099994555
89941a94,7,B,current,ADD,true,,1,315,49,29,0,0.00112,2094.1048319999827
89941a94,7,C,current,ADD,true,,1,569,46,0,0,0.000023898,374.3484400000889
89941a94,8,B,current,ADD,true,,1,361,42,22,0,0.001142,1904.479462999967
89941a94,8,C,current,ADD,true,,1,621,46,0,0,0.000026082,354.1925030000275
89941a94,9,B,current,ADD,true,,1,390,39,19,0,0.00117,1642.7657899999758
89941a94,9,C,current,ADD,true,,1,655,46,0,0,0.00002751,438.961605999968
89941a94,10,B,current,NOOP,true,,1,414,19,0,0,0.001018,1139.0212360000005
89941a94,10,C,current,NOOP,true,,1,684,47,0,0,0.000028728,458.1662500000093
89941a94,11,B,tentative,NOOP,true,,1,423,43,22,0,0.001276,2082.216345999972
89941a94,11,C,tentative,NOOP,true,,1,695,47,0,0,0.00002919,368.3145540000405
89941a94,12,B,tentative,NOOP,true,,1,421,19,0,0,0.001032,1223.5866559999995
89941a94,12,C,tentative,NOOP,true,,1,692,47,0,0,0.000029064,378.3120760000311
89941a94,13,B,current,ADD,true,,1,430,70,50,0,0.00156,2965.0456530000083
89941a94,13,C,current,ADD,true,,1,701,46,0,0,0.000029442,340.40107100002933
89941a94,14,B,current,NOOP,true,,1,466,19,0,0,0.001122,2027.0331060000462
89941a94,14,C,current,NOOP,true,,1,743,47,0,0,0.000031206,402.57503099995665
89941a94,15,B,current,NOOP,true,,1,474,85,64,0,0.001798,4711.640613000025
89941a94,15,C,current,ADD,true,,1,751,46,0,0,0.000031542,432.4896449999651
89941a94,16,B,historical,NOOP,true,,1,458,35,14,0,0.001266,1508.376883000019
89941a94,16,C,historical,NOOP,true,,1,783,47,0,0,0.000032886,415.2741189999506
89941a94,17,B,current,NOOP,true,,1,452,19,0,0,0.001094,1358.7745189999696
89941a94,17,C,current,NOOP,true,,1,778,47,0,0,0.000032676,342.44091400003526
89941a94,18,B,current,NOOP,true,,1,477,19,0,0,0.001144,1301.9375129999826
89941a94,18,C,current,NOOP,true,,1,802,47,0,0,0.000033684,426.6079000000609
89941a94,19,B,current,NOOP,true,,1,460,19,0,0,0.00111,1921.5355500000296
89941a94,19,C,current,NOOP,true,,1,786,47,0,0,0.000033012,347.0515249999007
89941a94,20,B,historical,NOOP,true,,1,470,19,0,0,0.00113,1319.6289389999583
89941a94,20,C,historical,NOOP,true,,1,796,47,0,0,0.000033432,352.28773999994155
89941a94,21,B,current,NOOP,true,,1,468,19,0,0,0.001126,1683.771754000103
89941a94,21,C,current,NOOP,true,,1,794,47,0,0,0.000033348,389.5329480000073
89941a94,22,B,historical,NOOP,true,,1,470,61,40,0,0.00155,2578.320880000014
89941a94,22,C,historical,ADD,true,,1,796,46,0,0,0.000033432,372.9480779999867
89941a94,23,B,tentative,NOOP,true,,1,452,19,0,0,0.001094,1416.916908999905
89941a94,23,C,tentative,NOOP,true,,1,823,47,0,0,0.000034566,625.7059920000611
89941a94,24,B,historical,NOOP,true,,1,483,111,90,0,0.002076,3284.9482710000593
89941a94,24,C,historical,NOOP,true,,1,853,47,0,0,0.000035826,391.0069529999746
89941a94,25,B,historical,NOOP,true,,1,462,19,0,0,0.001114,1327.8455489999615
89941a94,25,C,historical,ADD,true,,1,832,46,0,0,0.000034944,344.43608100002166
89941a94,26,B,historical,ADD,true,,1,472,70,50,0,0.001644,2762.2387089999393
89941a94,26,C,historical,ADD,true,,1,879,46,0,0,0.000036918,355.7642070000293
89941a94,27,B,historical,ADD,true,,1,513,131,111,0,0.002336,3455.0072180000134
89941a94,27,C,historical,ADD,true,,1,924,46,0,0,0.000038808,341.94022399990354
89941a94,28,B,historical,NOOP,true,,1,557,46,25,0,0.001574,1892.837406000006
89941a94,28,C,historical,NOOP,true,,1,973,47,0,0,0.000040866,407.14149599999655
89941a94,29,B,historical,ADD,true,,1,562,128,108,0,0.002404,3452.8328740000725
89941a94,29,C,historical,NOOP,true,,1,979,47,0,0,0.000041118,378.96719800005667
89941a94,30,B,tentative,NOOP,true,,1,591,19,0,0,0.001372,1214.92427399999
89941a94,30,C,tentative,NOOP,true,,1,959,47,0,0,0.000040278,393.07416199997533
89941a94,31,B,tentative,NOOP,true,,1,604,19,0,0,0.001398,1141.1330340000568
